"Tabela 9543 - Taxa de alfabetização das pessoas de 15 anos ou mais de idade por sexo, cor ou raça e grupos de idade"
"Variável - Taxa de alfabetização das pessoas de 15 anos ou mais de idade (%)"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Ano x Sexo x Cor ou raça"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"2022"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Total";;;;;;"Homens";;;;;;"Mulheres"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena"
"3";"Sudeste";"15 a 19 anos";"99,00";"99,13";"98,84";"99,26";"98,90";"96,62";"98,72";"98,92";"98,48";"99,07";"98,59";"96,53";"99,28";"99,35";"99,24";"99,44";"99,23";"96,70"
"3";"Sudeste";"20 a 24 anos";"99,05";"99,20";"98,89";"99,22";"98,93";"97,41";"98,79";"99,02";"98,55";"99,08";"98,64";"97,22";"99,30";"99,38";"99,28";"99,36";"99,23";"97,59"
"3";"Sudeste";"25 a 34 anos";"98,96";"99,21";"98,71";"98,97";"98,74";"97,57";"98,65";"99,01";"98,31";"98,80";"98,35";"97,34";"99,26";"99,40";"99,15";"99,12";"99,13";"97,80"
"3";"Sudeste";"35 a 44 anos";"98,26";"98,87";"97,54";"98,90";"97,73";"95,20";"97,82";"98,59";"96,92";"98,79";"97,20";"94,73";"98,67";"99,12";"98,19";"99,01";"98,23";"95,65"
"3";"Sudeste";"45 a 54 anos";"96,44";"97,84";"94,55";"98,63";"95,16";"92,47";"95,93";"97,50";"93,81";"98,63";"94,62";"91,80";"96,90";"98,13";"95,30";"98,64";"95,67";"93,07"
"3";"Sudeste";"55 a 64 anos";"94,22";"96,62";"90,25";"98,47";"91,71";"86,97";"93,99";"96,45";"89,78";"98,50";"91,60";"86,79";"94,42";"96,76";"90,68";"98,45";"91,81";"87,12"
"3";"Sudeste";"65 anos ou mais";"87,74";"92,04";"78,65";"97,57";"81,68";"77,31";"89,14";"93,18";"80,20";"98,08";"83,98";"80,39";"86,72";"91,23";"77,52";"97,17";"79,84";"75,38"
"4";"Sul";"Total";"96,55";"97,34";"94,13";"98,47";"94,47";"89,39";"96,71";"97,43";"94,46";"98,63";"94,97";"91,57";"96,40";"97,27";"93,78";"98,32";"93,95";"87,26"
"4";"Sul";"15 a 19 anos";"99,09";"99,16";"98,79";"99,39";"98,97";"98,14";"98,87";"98,97";"98,52";"99,16";"98,71";"97,79";"99,31";"99,34";"99,08";"99,62";"99,27";"98,51"
"4";"Sul";"20 a 24 anos";"99,14";"99,23";"98,81";"99,25";"99,03";"97,48";"98,94";"99,05";"98,54";"99,06";"98,78";"97,46";"99,35";"99,40";"99,13";"99,44";"99,29";"97,51"
"4";"Sul";"25 a 34 anos";"99,13";"99,27";"98,64";"99,24";"98,87";"96,30";"98,92";"99,10";"98,33";"99,15";"98,60";"96,54";"99,33";"99,43";"98,99";"99,32";"99,16";"96,05"
"4";"Sul";"35 a 44 anos";"98,62";"99,01";"97,54";"99,25";"97,67";"91,46";"98,38";"98,82";"97,15";"99,20";"97,40";"93,41";"98,84";"99,19";"97,96";"99,29";"97,94";"89,55"
"4";"Sul";"45 a 54 anos";"97,04";"97,96";"94,61";"98,84";"94,54";"83,99";"96,83";"97,73";"94,39";"98,73";"94,59";"87,58";"97,22";"98,17";"94,84";"98,95";"94,48";"80,39"
"4";"Sul";"55 a 64 anos";"94,99";"96,61";"89,69";"98,28";"89,62";"78,88";"94,98";"96,45";"89,74";"98,47";"90,45";"83,76";"95,00";"96,75";"89,65";"98,11";"88,82";"74,16"
"4";"Sul";"65 anos ou mais";"88,73";"91,61";"76,90";"96,92";"76,52";"62,89";"89,85";"92,42";"78,42";"97,62";"80,01";"69,15";"87,87";"91,00";"75,71";"96,34";"73,51";"58,02"
