"Tabela 9543 - Taxa de alfabetização das pessoas de 15 anos ou mais de idade por sexo, cor ou raça e grupos de idade"
"Variável - Taxa de alfabetização das pessoas de 15 anos ou mais de idade (%)"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Ano x Sexo x Cor ou raça"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"2022"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Total";;;;;;"Homens";;;;;;"Mulheres"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Idade";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena"
"21";"Maranhão";"Total";"84,95";"88,38";"80,70";"88,37";"84,92";"72,35";"82,96";"86,95";"78,80";"86,47";"82,79";"75,72";"86,83";"89,65";"82,73";"89,71";"86,93";"69,09"
"21";"Maranhão";"15 a 19 anos";"97,20";"97,62";"96,69";"98,09";"97,28";"89,17";"96,08";"96,79";"95,30";"97,02";"96,11";"89,79";"98,36";"98,42";"98,33";"98,82";"98,48";"88,54"
"21";"Maranhão";"20 a 24 anos";"97,04";"97,50";"96,63";"98,45";"97,11";"87,49";"95,92";"96,63";"95,42";"96,41";"95,91";"88,81";"98,15";"98,34";"98,00";"100,00";"98,28";"86,14"
"21";"Maranhão";"25 a 34 anos";"95,46";"96,53";"95,02";"97,67";"95,40";"79,81";"93,76";"95,40";"93,21";"96,03";"93,53";"82,31";"97,05";"97,58";"96,99";"98,78";"97,10";"77,34"
"21";"Maranhão";"35 a 44 anos";"88,73";"91,81";"87,39";"92,60";"88,27";"66,62";"85,77";"89,41";"84,32";"90,89";"85,17";"71,62";"91,51";"93,96";"90,77";"93,64";"91,15";"61,84"
"21";"Maranhão";"45 a 54 anos";"79,82";"85,99";"76,83";"84,39";"78,72";"58,90";"75,66";"82,45";"72,50";"81,91";"74,49";"63,50";"83,73";"89,06";"81,49";"86,01";"82,67";"54,45"
"21";"Maranhão";"55 a 64 anos";"70,40";"79,87";"64,54";"71,30";"68,93";"52,06";"67,38";"77,44";"61,91";"73,68";"65,74";"55,84";"73,08";"81,93";"67,14";"69,28";"71,73";"48,57"
"21";"Maranhão";"65 anos ou mais";"54,40";"65,53";"46,85";"63,76";"52,28";"32,01";"52,91";"64,26";"45,59";"61,95";"51,02";"35,48";"55,70";"66,51";"48,04";"65,32";"53,41";"29,34"
"22";"Piauí";"Total";"82,77";"86,19";"77,59";"80,31";"82,69";"78,64";"80,38";"84,58";"75,41";"76,90";"80,10";"77,30";"85,01";"87,62";"79,97";"82,75";"85,08";"79,93"
"22";"Piauí";"15 a 19 anos";"97,49";"97,80";"96,87";"97,71";"97,49";"95,57";"96,40";"97,03";"95,48";"94,32";"96,36";"94,01";"98,63";"98,55";"98,53";"100,00";"98,68";"97,09"
"22";"Piauí";"20 a 24 anos";"97,31";"97,73";"96,81";"98,94";"97,27";"93,45";"96,19";"96,95";"95,49";"97,46";"96,08";"93,57";"98,45";"98,50";"98,33";"100,00";"98,46";"93,31"
"22";"Piauí";"25 a 34 anos";"95,40";"96,14";"94,54";"95,60";"95,33";"92,60";"93,50";"94,86";"92,54";"90,82";"93,27";"90,28";"97,23";"97,39";"96,83";"98,98";"97,25";"95,12"
"22";"Piauí";"35 a 44 anos";"87,85";"90,69";"85,32";"87,24";"87,48";"80,99";"83,96";"87,64";"81,70";"84,62";"83,33";"78,94";"91,53";"93,47";"89,51";"89,05";"91,30";"82,86"
"22";"Piauí";"45 a 54 anos";"78,60";"83,84";"73,94";"71,53";"77,91";"73,44";"73,28";"79,26";"68,99";"63,41";"72,42";"69,29";"83,55";"87,81";"79,61";"76,92";"82,89";"77,61"
"22";"Piauí";"55 a 64 anos";"70,14";"77,83";"61,81";"66,28";"69,37";"65,95";"65,69";"74,35";"57,69";"62,91";"64,71";"64,51";"74,07";"80,75";"66,05";"68,95";"73,40";"67,37"
"22";"Piauí";"65 anos ou mais";"52,37";"62,63";"41,17";"52,83";"50,72";"52,40";"50,93";"61,74";"39,95";"55,14";"49,41";"50,34";"53,55";"63,28";"42,27";"51,05";"51,82";"53,94"
"23";"Ceará";"Total";"85,88";"88,83";"79,16";"84,29";"85,44";"82,94";"83,52";"86,99";"77,10";"81,82";"82,96";"80,15";"88,04";"90,39";"81,54";"86,13";"87,69";"85,59"
"23";"Ceará";"15 a 19 anos";"98,02";"98,18";"97,47";"98,53";"98,00";"97,41";"97,31";"97,57";"96,56";"98,27";"97,28";"96,29";"98,76";"98,77";"98,58";"98,76";"98,77";"98,54"
"23";"Ceará";"20 a 24 anos";"97,84";"98,03";"97,37";"97,45";"97,83";"96,77";"97,08";"97,52";"96,42";"95,87";"96,99";"95,74";"98,61";"98,54";"98,53";"98,59";"98,66";"97,75"
"23";"Ceará";"25 a 34 anos";"96,38";"96,97";"95,13";"95,75";"96,30";"94,98";"94,95";"95,97";"93,61";"95,29";"94,74";"92,71";"97,73";"97,91";"97,02";"96,08";"97,74";"97,13"
"23";"Ceará";"35 a 44 anos";"90,97";"93,38";"87,23";"91,05";"90,47";"87,11";"88,24";"91,22";"84,47";"88,67";"87,62";"83,97";"93,49";"95,27";"90,69";"92,76";"93,07";"90,09"
"23";"Ceará";"45 a 54 anos";"81,53";"86,74";"74,98";"79,31";"80,25";"75,63";"76,80";"82,75";"70,66";"73,30";"75,40";"69,76";"85,79";"90,05";"80,10";"83,55";"84,61";"81,12"
"23";"Ceará";"55 a 64 anos";"74,18";"81,97";"64,03";"69,51";"72,05";"66,18";"69,16";"77,83";"59,56";"65,06";"66,90";"60,47";"78,47";"85,26";"68,89";"72,68";"76,47";"71,49"
"23";"Ceará";"65 anos ou mais";"60,28";"70,57";"45,98";"59,31";"56,33";"48,74";"55,36";"66,15";"42,17";"57,84";"51,64";"47,02";"64,07";"73,59";"49,51";"60,52";"60,10";"50,24"
"24";"Rio Grande do Norte";"Total";"86,14";"89,03";"79,97";"85,72";"85,23";"78,34";"83,35";"86,75";"77,35";"83,76";"82,25";"74,86";"88,69";"90,98";"82,91";"87,02";"87,99";"81,59"
"24";"Rio Grande do Norte";"15 a 19 anos";"97,28";"97,62";"96,41";"96,25";"97,18";"92,08";"96,17";"96,68";"95,17";"93,98";"95,99";"89,46";"98,44";"98,57";"97,87";"98,07";"98,44";"94,75"
"24";"Rio Grande do Norte";"20 a 24 anos";"96,96";"97,47";"95,99";"96,20";"96,80";"90,53";"95,69";"96,58";"94,55";"94,12";"95,33";"86,80";"98,24";"98,35";"97,70";"97,47";"98,28";"94,12"
"24";"Rio Grande do Norte";"25 a 34 anos";"95,86";"96,75";"94,45";"95,78";"95,53";"89,42";"94,09";"95,42";"92,50";"93,96";"93,53";"85,08";"97,54";"97,97";"96,75";"97,00";"97,39";"93,51"
"24";"Rio Grande do Norte";"35 a 44 anos";"91,18";"93,49";"87,53";"90,46";"90,26";"82,10";"88,17";"91,09";"84,32";"88,20";"87,00";"78,76";"94,00";"95,59";"91,39";"91,96";"93,29";"85,54"
"24";"Rio Grande do Norte";"45 a 54 anos";"82,66";"86,78";"76,98";"81,64";"80,93";"68,86";"77,88";"82,58";"72,79";"78,66";"75,93";"60,81";"87,00";"90,27";"81,95";"83,41";"85,51";"76,54"
"24";"Rio Grande do Norte";"55 a 64 anos";"75,84";"81,88";"66,98";"74,91";"73,24";"64,65";"70,47";"77,08";"62,24";"69,70";"67,71";"58,71";"80,47";"85,73";"71,90";"78,31";"78,09";"69,87"
"24";"Rio Grande do Norte";"65 anos ou mais";"62,77";"70,78";"49,84";"64,05";"58,52";"52,85";"56,84";"65,12";"44,88";"66,40";"52,98";"54,89";"67,23";"74,55";"54,35";"62,40";"62,93";"51,36"
"25";"Paraíba";"Total";"84,04";"86,86";"77,57";"87,07";"83,30";"81,37";"81,32";"84,63";"75,32";"84,36";"80,34";"79,15";"86,50";"88,77";"80,03";"89,00";"85,98";"83,44"
"25";"Paraíba";"15 a 19 anos";"97,45";"97,67";"96,76";"97,85";"97,42";"95,43";"96,35";"96,81";"95,35";"97,04";"96,24";"94,08";"98,59";"98,55";"98,44";"98,42";"98,65";"96,85"
"25";"Paraíba";"20 a 24 anos";"97,31";"97,58";"96,46";"97,39";"97,30";"95,36";"96,20";"96,75";"95,16";"96,45";"96,07";"94,05";"98,42";"98,40";"98,01";"98,09";"98,51";"96,64"
"25";"Paraíba";"25 a 34 anos";"95,82";"96,48";"94,39";"98,16";"95,68";"93,77";"94,00";"95,08";"92,30";"97,32";"93,66";"92,06";"97,55";"97,81";"96,89";"98,69";"97,51";"95,35"
"25";"Paraíba";"35 a 44 anos";"89,19";"91,67";"85,61";"91,12";"88,33";"84,58";"85,82";"88,91";"82,45";"88,06";"84,67";"80,95";"92,31";"94,12";"89,30";"93,24";"91,68";"88,04"
"25";"Paraíba";"45 a 54 anos";"78,78";"83,60";"72,18";"81,55";"76,95";"73,18";"73,32";"78,82";"67,23";"74,52";"71,21";"68,43";"83,72";"87,65";"77,80";"86,76";"82,14";"77,70"
"25";"Paraíba";"55 a 64 anos";"72,15";"79,22";"62,05";"75,63";"69,22";"63,50";"66,59";"74,32";"57,27";"73,06";"63,42";"57,78";"76,90";"83,16";"66,86";"77,64";"74,24";"68,79"
"25";"Paraíba";"65 anos ou mais";"59,48";"67,83";"45,63";"62,36";"55,26";"48,17";"55,01";"63,33";"42,49";"62,61";"51,19";"49,21";"62,79";"70,84";"48,31";"62,16";"58,42";"47,35"
"26";"Pernambuco";"Total";"86,59";"88,95";"83,59";"89,76";"85,81";"82,76";"85,16";"87,80";"82,71";"87,43";"84,22";"80,75";"87,84";"89,90";"84,49";"91,27";"87,22";"84,63"
"26";"Pernambuco";"15 a 19 anos";"97,60";"97,87";"97,23";"97,95";"97,52";"96,41";"96,59";"97,08";"96,13";"96,45";"96,43";"95,23";"98,63";"98,64";"98,47";"98,97";"98,66";"97,68"
"26";"Pernambuco";"20 a 24 anos";"97,30";"97,66";"97,14";"98,53";"97,15";"96,14";"96,19";"96,85";"95,99";"97,97";"95,90";"94,36";"98,40";"98,44";"98,45";"98,90";"98,38";"97,91"
"26";"Pernambuco";"25 a 34 anos";"95,90";"96,67";"95,33";"97,29";"95,62";"93,46";"94,20";"95,38";"93,58";"95,67";"93,74";"90,60";"97,47";"97,83";"97,24";"98,26";"97,32";"96,16"
"26";"Pernambuco";"35 a 44 anos";"90,79";"92,91";"89,55";"92,98";"89,89";"85,83";"88,19";"90,71";"87,19";"90,38";"87,10";"81,72";"93,14";"94,77";"92,12";"94,57";"92,40";"89,69"
"26";"Pernambuco";"45 a 54 anos";"83,18";"86,98";"80,67";"85,68";"81,52";"77,14";"80,14";"84,19";"78,50";"80,29";"78,33";"73,17";"85,81";"89,21";"82,93";"88,94";"84,33";"80,83"
"26";"Pernambuco";"55 a 64 anos";"75,72";"81,74";"70,53";"80,18";"73,09";"67,24";"73,23";"79,38";"68,98";"77,80";"70,52";"64,55";"77,75";"83,54";"71,98";"81,86";"75,20";"69,56"
"26";"Pernambuco";"65 anos ou mais";"64,83";"72,48";"56,06";"70,75";"60,80";"52,27";"63,39";"70,98";"56,03";"71,08";"59,64";"52,46";"65,85";"73,44";"56,09";"70,50";"61,67";"52,13"
"27";"Alagoas";"Total";"82,34";"85,53";"76,52";"87,58";"81,86";"80,00";"80,88";"84,50";"76,02";"85,05";"80,18";"78,33";"83,63";"86,40";"77,07";"89,10";"83,33";"81,58"
"27";"Alagoas";"15 a 19 anos";"96,83";"97,20";"95,83";"98,48";"96,80";"96,78";"95,56";"96,08";"94,44";"97,24";"95,48";"95,75";"98,15";"98,30";"97,50";"99,29";"98,17";"97,90"
"27";"Alagoas";"20 a 24 anos";"96,07";"96,52";"95,05";"97,44";"96,04";"95,70";"94,45";"95,34";"93,50";"94,18";"94,24";"93,40";"97,63";"97,65";"96,86";"99,16";"97,71";"98,03"
"27";"Alagoas";"25 a 34 anos";"94,28";"95,17";"92,97";"95,62";"94,13";"92,90";"92,20";"93,65";"90,87";"94,16";"91,85";"90,14";"96,13";"96,52";"95,37";"96,44";"96,08";"95,59"
"27";"Alagoas";"35 a 44 anos";"85,72";"88,81";"81,83";"89,49";"85,04";"81,09";"82,97";"86,36";"79,77";"87,50";"82,15";"78,45";"88,15";"90,85";"84,21";"90,68";"87,54";"83,50"
"27";"Alagoas";"45 a 54 anos";"76,14";"81,44";"69,92";"81,23";"74,85";"70,19";"73,42";"79,01";"68,76";"78,54";"71,94";"65,73";"78,49";"83,39";"71,23";"82,65";"77,33";"74,16"
"27";"Alagoas";"55 a 64 anos";"67,45";"75,53";"57,65";"72,17";"65,37";"61,69";"65,99";"74,26";"58,00";"69,94";"63,72";"60,38";"68,68";"76,54";"57,29";"73,82";"66,73";"62,86"
"27";"Alagoas";"65 anos ou mais";"54,41";"64,31";"41,53";"59,46";"51,05";"44,89";"53,46";"63,39";"42,47";"58,75";"50,37";"45,73";"55,13";"64,94";"40,68";"60,00";"51,60";"44,14"
"28";"Sergipe";"Total";"86,19";"87,74";"83,98";"90,10";"86,04";"88,19";"84,31";"86,15";"82,55";"87,20";"83,99";"86,85";"87,86";"89,10";"85,47";"92,08";"87,83";"89,43"
"28";"Sergipe";"15 a 19 anos";"97,40";"97,59";"97,19";"98,33";"97,36";"98,02";"96,31";"96,68";"95,80";"96,77";"96,26";"96,30";"98,52";"98,49";"98,73";"99,32";"98,48";"100,00"
"28";"Sergipe";"20 a 24 anos";"97,32";"97,41";"97,09";"99,19";"97,34";"95,72";"96,13";"96,44";"96,01";"98,82";"96,04";"94,34";"98,48";"98,40";"98,27";"99,38";"98,55";"97,02"
"28";"Sergipe";"25 a 34 anos";"96,11";"96,38";"95,75";"96,28";"96,09";"97,16";"94,31";"94,95";"94,00";"94,47";"94,15";"94,81";"97,73";"97,71";"97,61";"97,57";"97,76";"99,24"
"28";"Sergipe";"35 a 44 anos";"90,17";"91,70";"89,49";"92,41";"89,73";"92,01";"87,12";"88,88";"86,75";"88,70";"86,52";"88,81";"92,87";"94,10";"92,40";"94,92";"92,48";"95,38"
"28";"Sergipe";"45 a 54 anos";"81,80";"84,74";"79,59";"85,88";"81,11";"87,67";"77,94";"81,02";"76,48";"80,15";"77,09";"85,08";"85,16";"87,78";"82,91";"89,57";"84,55";"90,12"
"28";"Sergipe";"55 a 64 anos";"74,63";"79,68";"69,44";"79,30";"73,65";"81,83";"71,80";"76,66";"67,74";"79,63";"70,74";"79,20";"77,04";"82,12";"71,14";"79,05";"76,06";"84,07"
"28";"Sergipe";"65 anos ou mais";"60,98";"68,38";"52,63";"70,00";"58,87";"66,79";"59,44";"66,53";"52,94";"67,86";"57,38";"70,64";"62,13";"69,64";"52,36";"71,88";"60,00";"63,73"
"29";"Bahia";"Total";"87,40";"88,70";"86,67";"91,26";"87,29";"83,25";"86,23";"87,85";"85,56";"89,41";"86,00";"83,06";"88,47";"89,46";"87,73";"92,60";"88,46";"83,43"
"29";"Bahia";"15 a 19 anos";"97,92";"98,08";"97,82";"98,46";"97,92";"97,10";"97,16";"97,44";"97,00";"98,20";"97,13";"96,27";"98,72";"98,70";"98,69";"98,65";"98,74";"97,92"
"29";"Bahia";"20 a 24 anos";"97,76";"97,93";"97,80";"98,62";"97,69";"97,13";"96,90";"97,34";"96,88";"97,19";"96,76";"96,54";"98,60";"98,51";"98,72";"99,48";"98,58";"97,73"
"29";"Bahia";"25 a 34 anos";"96,92";"97,21";"96,92";"97,12";"96,84";"95,76";"95,66";"96,31";"95,63";"95,01";"95,48";"94,38";"98,06";"98,04";"98,16";"98,44";"98,04";"97,03"
"29";"Bahia";"35 a 44 anos";"92,81";"93,92";"92,72";"95,34";"92,53";"89,44";"90,66";"92,10";"90,58";"93,11";"90,27";"87,83";"94,78";"95,53";"94,78";"96,85";"94,57";"91,00"
"29";"Bahia";"45 a 54 anos";"85,07";"87,87";"84,27";"88,78";"84,52";"78,53";"82,18";"85,27";"81,55";"86,03";"81,46";"77,18";"87,75";"90,18";"86,98";"90,85";"87,30";"79,81"
"29";"Bahia";"55 a 64 anos";"77,64";"82,52";"74,62";"83,68";"77,15";"68,18";"75,45";"80,53";"72,62";"80,55";"74,84";"68,05";"79,59";"84,27";"76,50";"86,22";"79,18";"68,29"
"29";"Bahia";"65 anos ou mais";"63,27";"70,61";"56,99";"78,52";"62,30";"54,32";"63,84";"70,94";"57,80";"80,96";"63,01";"56,09";"62,81";"70,37";"56,35";"76,36";"61,71";"52,96"
"31";"Minas Gerais";"Total";"94,15";"95,89";"91,55";"95,89";"93,31";"86,02";"94,06";"95,84";"91,58";"95,96";"93,24";"85,74";"94,23";"95,94";"91,53";"95,83";"93,37";"86,28"
"31";"Minas Gerais";"15 a 19 anos";"98,91";"99,10";"98,72";"98,91";"98,83";"93,03";"98,59";"98,89";"98,27";"98,44";"98,47";"92,92";"99,24";"99,31";"99,22";"99,34";"99,21";"93,14"
"31";"Minas Gerais";"20 a 24 anos";"98,96";"99,17";"98,79";"99,09";"98,86";"94,88";"98,66";"98,98";"98,39";"98,67";"98,51";"94,14";"99,27";"99,35";"99,24";"99,44";"99,22";"95,60"
"31";"Minas Gerais";"25 a 34 anos";"98,76";"99,09";"98,50";"98,31";"98,58";"94,93";"98,35";"98,87";"97,95";"97,74";"98,10";"93,98";"99,15";"99,31";"99,09";"98,78";"99,05";"95,92"
"31";"Minas Gerais";"35 a 44 anos";"97,55";"98,44";"96,74";"97,92";"97,07";"89,27";"96,89";"98,02";"95,89";"97,54";"96,30";"87,27";"98,19";"98,83";"97,66";"98,25";"97,81";"91,26"
"31";"Minas Gerais";"45 a 54 anos";"94,80";"96,93";"92,41";"96,38";"93,58";"85,53";"93,91";"96,30";"91,29";"95,99";"92,66";"82,96";"95,64";"97,48";"93,60";"96,68";"94,47";"88,04"
"31";"Minas Gerais";"55 a 64 anos";"91,25";"94,92";"85,92";"93,00";"88,92";"77,35";"90,49";"94,30";"84,96";"93,53";"88,24";"75,73";"91,93";"95,45";"86,86";"92,54";"89,54";"78,74"
"31";"Minas Gerais";"65 anos ou mais";"80,83";"87,60";"68,76";"90,10";"75,58";"64,80";"82,13";"88,35";"70,91";"92,12";"77,71";"67,32";"79,80";"87,03";"66,98";"88,19";"73,81";"63,03"
"32";"Espírito Santo";"Total";"94,38";"95,66";"91,83";"96,47";"93,99";"90,72";"94,48";"95,74";"92,00";"96,28";"94,16";"92,22";"94,28";"95,59";"91,64";"96,62";"93,83";"89,33"
"32";"Espírito Santo";"15 a 19 anos";"98,90";"99,07";"98,77";"98,48";"98,84";"98,73";"98,60";"98,82";"98,41";"98,13";"98,51";"98,46";"99,22";"99,32";"99,15";"98,73";"99,18";"99,03"
"32";"Espírito Santo";"20 a 24 anos";"98,92";"99,12";"98,75";"98,67";"98,84";"98,80";"98,62";"98,91";"98,32";"97,64";"98,53";"98,02";"99,23";"99,33";"99,21";"99,42";"99,16";"99,57"
"32";"Espírito Santo";"25 a 34 anos";"98,81";"99,11";"98,56";"99,14";"98,67";"98,34";"98,46";"98,89";"98,15";"98,42";"98,24";"98,34";"99,15";"99,31";"99,02";"99,74";"99,08";"98,35"
"32";"Espírito Santo";"35 a 44 anos";"97,76";"98,57";"96,79";"98,13";"97,40";"96,61";"97,28";"98,23";"96,11";"97,58";"96,89";"96,36";"98,22";"98,88";"97,54";"98,55";"97,88";"96,86"
"32";"Espírito Santo";"45 a 54 anos";"95,15";"96,89";"92,35";"96,21";"94,47";"93,27";"94,60";"96,36";"91,65";"94,12";"94,03";"94,55";"95,66";"97,36";"93,12";"97,93";"94,87";"91,99"
"32";"Espírito Santo";"55 a 64 anos";"90,93";"94,52";"84,23";"93,83";"89,20";"80,71";"90,61";"93,99";"84,07";"93,26";"89,20";"82,34";"91,21";"94,98";"84,39";"94,36";"89,19";"79,40"
"32";"Espírito Santo";"65 anos ou mais";"80,47";"86,21";"67,47";"90,66";"76,56";"67,28";"82,24";"87,39";"70,06";"94,68";"79,23";"71,87";"79,07";"85,32";"65,20";"86,28";"74,37";"64,01"
"33";"Rio de Janeiro";"Total";"96,72";"97,58";"95,54";"96,73";"96,31";"95,06";"96,69";"97,53";"95,65";"96,71";"96,31";"95,59";"96,74";"97,62";"95,45";"96,75";"96,32";"94,65"
"33";"Rio de Janeiro";"15 a 19 anos";"98,97";"99,12";"98,83";"99,64";"98,89";"98,84";"98,68";"98,88";"98,47";"99,41";"98,61";"97,98";"99,26";"99,36";"99,21";"99,83";"99,20";"99,73"
"33";"Rio de Janeiro";"20 a 24 anos";"99,01";"99,19";"98,81";"99,21";"98,94";"98,50";"98,73";"98,97";"98,40";"98,99";"98,66";"98,94";"99,29";"99,40";"99,22";"99,37";"99,23";"98,06"
"33";"Rio de Janeiro";"25 a 34 anos";"98,95";"99,21";"98,73";"98,09";"98,82";"98,44";"98,65";"99,02";"98,33";"97,12";"98,47";"98,25";"99,24";"99,39";"99,13";"98,81";"99,14";"98,62"
"33";"Rio de Janeiro";"35 a 44 anos";"98,37";"98,84";"97,86";"97,95";"98,14";"98,01";"97,99";"98,53";"97,39";"97,48";"97,74";"97,76";"98,72";"99,10";"98,31";"98,34";"98,51";"98,23"
"33";"Rio de Janeiro";"45 a 54 anos";"96,81";"97,82";"95,58";"96,40";"96,31";"96,08";"96,26";"97,34";"94,97";"96,90";"95,78";"95,42";"97,29";"98,21";"96,13";"96,01";"96,81";"96,60"
"33";"Rio de Janeiro";"55 a 64 anos";"95,29";"96,91";"92,98";"94,54";"94,36";"93,20";"95,01";"96,62";"92,72";"94,93";"94,15";"93,52";"95,52";"97,14";"93,20";"94,21";"94,54";"92,97"
"33";"Rio de Janeiro";"65 anos ou mais";"91,17";"94,25";"85,61";"94,09";"88,64";"87,42";"91,99";"94,68";"87,12";"94,95";"89,93";"88,84";"90,61";"93,97";"84,64";"93,37";"87,68";"86,67"
"35";"São Paulo";"Total";"96,89";"97,73";"95,38";"98,70";"95,73";"94,52";"97,10";"97,95";"95,62";"98,80";"96,02";"95,71";"96,70";"97,53";"95,12";"98,61";"95,44";"93,48"
"35";"São Paulo";"15 a 19 anos";"99,06";"99,15";"98,94";"99,28";"98,95";"98,48";"98,81";"98,94";"98,64";"99,12";"98,66";"98,56";"99,32";"99,37";"99,29";"99,44";"99,25";"98,39"
"35";"São Paulo";"20 a 24 anos";"99,11";"99,22";"99,04";"99,24";"98,97";"98,57";"98,90";"99,05";"98,77";"99,13";"98,72";"98,78";"99,33";"99,39";"99,35";"99,35";"99,25";"98,38"
"35";"São Paulo";"25 a 34 anos";"99,06";"99,25";"98,85";"99,07";"98,82";"98,64";"98,80";"99,06";"98,55";"98,97";"98,47";"98,81";"99,32";"99,43";"99,21";"99,17";"99,18";"98,47"
"35";"São Paulo";"35 a 44 anos";"98,58";"99,03";"97,94";"99,03";"98,00";"97,09";"98,24";"98,80";"97,40";"98,95";"97,57";"97,45";"98,90";"99,23";"98,52";"99,11";"98,42";"96,76"
"35";"São Paulo";"45 a 54 anos";"97,15";"98,19";"95,53";"98,88";"95,71";"94,56";"96,86";"98,00";"95,02";"98,87";"95,41";"94,65";"97,42";"98,36";"96,04";"98,90";"96,00";"94,48"
"35";"São Paulo";"55 a 64 anos";"95,50";"97,25";"92,04";"98,90";"92,60";"91,08";"95,61";"97,32";"92,04";"98,89";"92,97";"91,58";"95,40";"97,20";"92,03";"98,91";"92,27";"90,69"
"35";"São Paulo";"65 anos ou mais";"90,30";"93,29";"82,19";"97,96";"83,26";"82,38";"92,20";"94,91";"84,30";"98,42";"86,50";"87,43";"88,92";"92,15";"80,65";"97,61";"80,68";"79,23"
"41";"Paraná";"Total";"95,69";"96,84";"92,00";"98,63";"93,75";"88,28";"96,12";"97,14";"93,01";"98,82";"94,51";"90,33";"95,30";"96,58";"90,85";"98,46";"92,99";"86,30"
"41";"Paraná";"15 a 19 anos";"99,17";"99,25";"98,96";"99,42";"99,05";"98,25";"98,99";"99,10";"98,71";"99,26";"98,83";"97,96";"99,35";"99,39";"99,26";"99,58";"99,29";"98,53"
"41";"Paraná";"20 a 24 anos";"99,18";"99,27";"98,95";"99,22";"99,07";"97,44";"98,98";"99,11";"98,67";"99,07";"98,82";"97,53";"99,39";"99,42";"99,30";"99,37";"99,35";"97,35"
"41";"Paraná";"25 a 34 anos";"99,10";"99,28";"98,63";"99,36";"98,86";"95,63";"98,88";"99,11";"98,36";"99,22";"98,58";"95,75";"99,32";"99,44";"98,96";"99,50";"99,15";"95,50"
"41";"Paraná";"35 a 44 anos";"98,42";"98,93";"97,24";"99,32";"97,57";"91,05";"98,18";"98,73";"96,86";"99,24";"97,32";"92,31";"98,65";"99,10";"97,70";"99,40";"97,83";"89,80"
"41";"Paraná";"45 a 54 anos";"96,53";"97,76";"93,91";"98,98";"94,31";"83,48";"96,48";"97,63";"94,07";"98,93";"94,55";"87,03";"96,57";"97,87";"93,72";"99,02";"94,07";"80,10"
"41";"Paraná";"55 a 64 anos";"93,26";"95,67";"86,07";"98,69";"88,45";"77,64";"93,71";"95,81";"87,25";"98,96";"89,78";"81,84";"92,88";"95,55";"84,87";"98,45";"87,22";"73,53"
"41";"Paraná";"65 anos ou mais";"84,52";"88,89";"68,05";"97,27";"73,54";"59,90";"86,84";"90,67";"72,33";"97,99";"78,10";"65,27";"82,69";"87,55";"64,25";"96,70";"69,57";"55,77"
"42";"Santa Catarina";"Total";"97,33";"97,82";"95,59";"98,23";"95,78";"91,81";"97,38";"97,83";"95,78";"98,37";"96,08";"93,35";"97,28";"97,80";"95,36";"98,08";"95,46";"90,26"
"42";"Santa Catarina";"15 a 19 anos";"99,21";"99,25";"99,10";"99,68";"99,12";"99,22";"99,02";"99,08";"98,80";"99,70";"98,87";"98,99";"99,42";"99,42";"99,45";"99,67";"99,38";"99,49"
"42";"Santa Catarina";"20 a 24 anos";"99,27";"99,34";"98,92";"99,67";"99,16";"97,96";"99,10";"99,19";"98,68";"99,34";"98,98";"97,62";"99,45";"99,49";"99,22";"100,00";"99,37";"98,31"
"42";"Santa Catarina";"25 a 34 anos";"99,25";"99,36";"98,74";"98,88";"99,04";"97,76";"99,09";"99,23";"98,53";"99,29";"98,82";"97,62";"99,42";"99,49";"99,01";"98,46";"99,28";"97,89"
"42";"Santa Catarina";"35 a 44 anos";"98,83";"99,15";"97,55";"99,05";"97,93";"95,00";"98,65";"99,00";"97,30";"99,32";"97,73";"95,96";"99,01";"99,30";"97,85";"98,75";"98,16";"94,07"
"42";"Santa Catarina";"45 a 54 anos";"97,37";"98,12";"94,51";"98,58";"94,80";"87,15";"97,15";"97,89";"94,33";"97,99";"94,81";"89,38";"97,58";"98,33";"94,71";"99,18";"94,78";"84,82"
"42";"Santa Catarina";"55 a 64 anos";"95,72";"96,90";"90,33";"95,82";"90,18";"81,08";"95,64";"96,72";"90,41";"96,10";"90,91";"84,48";"95,80";"97,06";"90,25";"95,52";"89,47";"78,00"
"42";"Santa Catarina";"65 anos ou mais";"91,06";"92,92";"80,04";"95,92";"79,41";"64,23";"91,83";"93,48";"81,23";"96,46";"82,41";"72,04";"90,46";"92,48";"79,07";"95,37";"76,73";"57,74"
"43";"Rio Grande do Sul";"Total";"96,89";"97,45";"95,02";"96,80";"94,83";"88,91";"96,84";"97,39";"94,96";"96,63";"94,93";"91,55";"96,94";"97,50";"95,07";"96,96";"94,72";"86,34"
"43";"Rio Grande do Sul";"15 a 19 anos";"98,91";"99,00";"98,56";"98,58";"98,68";"97,48";"98,64";"98,77";"98,29";"96,92";"98,29";"96,98";"99,18";"99,24";"98,85";"100,00";"99,11";"98,00"
