"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"2022"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"3";"Sudeste";"Parda";"25 a 34 anos";"5134983";"2554805";"2580178";"5070316";"2512681";"2557635";"64667";"42124";"22543"
"3";"Sudeste";"Parda";"35 a 44 anos";"5345196";"2629766";"2715430";"5223663";"2556263";"2667400";"121533";"73503";"48030"
"3";"Sudeste";"Parda";"45 a 54 anos";"4373096";"2129295";"2243801";"4161364";"2014754";"2146610";"211732";"114541";"97191"
"3";"Sudeste";"Parda";"55 a 64 anos";"3451432";"1624206";"1827226";"3165319";"1487764";"1677555";"286113";"136442";"149671"
"3";"Sudeste";"Parda";"65 anos ou mais";"3112312";"1379606";"1732706";"2541997";"1158531";"1383466";"570315";"221075";"349240"
"3";"Sudeste";"Indígena";"Total";"90364";"42350";"48014";"83050";"39188";"43862";"7314";"3162";"4152"
"3";"Sudeste";"Indígena";"15 a 19 anos";"7418";"3748";"3670";"7167";"3618";"3549";"251";"130";"121"
"3";"Sudeste";"Indígena";"20 a 24 anos";"8712";"4281";"4431";"8486";"4162";"4324";"226";"119";"107"
"3";"Sudeste";"Indígena";"25 a 34 anos";"17715";"8821";"8894";"17284";"8586";"8698";"431";"235";"196"
"3";"Sudeste";"Indígena";"35 a 44 anos";"17341";"8426";"8915";"16509";"7982";"8527";"832";"444";"388"
"3";"Sudeste";"Indígena";"45 a 54 anos";"14283";"6832";"7451";"13207";"6272";"6935";"1076";"560";"516"
"3";"Sudeste";"Indígena";"55 a 64 anos";"11900";"5223";"6677";"10350";"4533";"5817";"1550";"690";"860"
"3";"Sudeste";"Indígena";"65 anos ou mais";"12995";"5019";"7976";"10047";"4035";"6012";"2948";"984";"1964"
"4";"Sul";"Total";"Total";"24412689";"11761458";"12651231";"23570354";"11374148";"12196206";"842335";"387310";"455025"
"4";"Sul";"Total";"15 a 19 anos";"1910723";"972409";"938314";"1893285";"961464";"931821";"17438";"10945";"6493"
"4";"Sul";"Total";"20 a 24 anos";"2176769";"1098829";"1077940";"2158121";"1087172";"1070949";"18648";"11657";"6991"
"4";"Sul";"Total";"25 a 34 anos";"4597880";"2281427";"2316453";"4557671";"2256761";"2300910";"40209";"24666";"15543"
"4";"Sul";"Total";"35 a 44 anos";"4636881";"2273779";"2363102";"4572715";"2237033";"2335682";"64166";"36746";"27420"
"4";"Sul";"Total";"45 a 54 anos";"3937695";"1900771";"2036924";"3820948";"1840576";"1980372";"116747";"60195";"56552"
"4";"Sul";"Total";"55 a 64 anos";"3527532";"1657625";"1869907";"3350924";"1574484";"1776440";"176608";"83141";"93467"
"4";"Sul";"Total";"65 anos ou mais";"3625209";"1576618";"2048591";"3216690";"1416658";"1800032";"408519";"159960";"248559"
"4";"Sul";"Branca";"Total";"17780348";"8414032";"9366316";"17308149";"8197493";"9110656";"472199";"216539";"255660"
"4";"Sul";"Branca";"15 a 19 anos";"1307958";"658308";"649650";"1296917";"651543";"645374";"11041";"6765";"4276"
"4";"Sul";"Branca";"20 a 24 anos";"1476541";"731814";"744727";"1465098";"724838";"740260";"11443";"6976";"4467"
"4";"Sul";"Branca";"25 a 34 anos";"3193490";"1556541";"1636949";"3170068";"1542512";"1627556";"23422";"14029";"9393"
"4";"Sul";"Branca";"35 a 44 anos";"3332201";"1604345";"1727856";"3299195";"1585385";"1713810";"33006";"18960";"14046"
"4";"Sul";"Branca";"45 a 54 anos";"2871357";"1363948";"1507409";"2812819";"1332952";"1479867";"58538";"30996";"27542"
"4";"Sul";"Branca";"55 a 64 anos";"2700366";"1255423";"1444943";"2608794";"1210852";"1397942";"91572";"44571";"47001"
"4";"Sul";"Branca";"65 anos ou mais";"2898435";"1243653";"1654782";"2655258";"1149411";"1505847";"243177";"94242";"148935"
"4";"Sul";"Preta";"Total";"1294364";"661314";"633050";"1218383";"624684";"593699";"75981";"36630";"39351"
"4";"Sul";"Preta";"15 a 19 anos";"94821";"50312";"44509";"93670";"49569";"44101";"1151";"743";"408"
"4";"Sul";"Preta";"20 a 24 anos";"125969";"67837";"58132";"124473";"66844";"57629";"1496";"993";"503"
"4";"Sul";"Preta";"25 a 34 anos";"277027";"147885";"129142";"273247";"145412";"127835";"3780";"2473";"1307"
"4";"Sul";"Preta";"35 a 44 anos";"269187";"141085";"128102";"262558";"137066";"125492";"6629";"4019";"2610"
"4";"Sul";"Preta";"45 a 54 anos";"212464";"108699";"103765";"201017";"102602";"98415";"11447";"6097";"5350"
"4";"Sul";"Preta";"55 a 64 anos";"166238";"80372";"85866";"149103";"72123";"76980";"17135";"8249";"8886"
"4";"Sul";"Preta";"65 anos ou mais";"148658";"65124";"83534";"114315";"51068";"63247";"34343";"14056";"20287"
"4";"Sul";"Amarela";"Total";"107064";"51644";"55420";"105424";"50936";"54488";"1640";"708";"932"
"4";"Sul";"Amarela";"15 a 19 anos";"6239";"3089";"3150";"6201";"3063";"3138";"38";"26";"12"
"4";"Sul";"Amarela";"20 a 24 anos";"7764";"3848";"3916";"7706";"3812";"3894";"58";"36";"22"
"4";"Sul";"Amarela";"25 a 34 anos";"15530";"7686";"7844";"15412";"7621";"7791";"118";"65";"53"
"4";"Sul";"Amarela";"35 a 44 anos";"18568";"9393";"9175";"18428";"9318";"9110";"140";"75";"65"
"4";"Sul";"Amarela";"45 a 54 anos";"16504";"7958";"8546";"16313";"7857";"8456";"191";"101";"90"
"4";"Sul";"Amarela";"55 a 64 anos";"15652";"7500";"8152";"15383";"7385";"7998";"269";"115";"154"
"4";"Sul";"Amarela";"65 anos ou mais";"26807";"12170";"14637";"25981";"11880";"14101";"826";"290";"536"
"4";"Sul";"Parda";"Total";"5170830";"2604761";"2566069";"4884636";"2473808";"2410828";"286194";"130953";"155241"
"4";"Sul";"Parda";"15 a 19 anos";"494038";"256798";"237240";"488972";"253473";"235499";"5066";"3325";"1741"
"4";"Sul";"Parda";"20 a 24 anos";"557725";"290932";"266793";"552294";"287391";"264903";"5431";"3541";"1890"
"4";"Sul";"Parda";"25 a 34 anos";"1098272";"562511";"535761";"1085880";"554645";"531235";"12392";"7866";"4526"
"4";"Sul";"Parda";"35 a 44 anos";"1006365";"513718";"492647";"982867";"500368";"482499";"23498";"13350";"10148"
"4";"Sul";"Parda";"45 a 54 anos";"829495";"416236";"413259";"784171";"393718";"390453";"45324";"22518";"22806"
"4";"Sul";"Parda";"55 a 64 anos";"639243";"311357";"327886";"572872";"281628";"291244";"66371";"29729";"36642"
"4";"Sul";"Parda";"65 anos ou mais";"545692";"253209";"292483";"417580";"202585";"214995";"128112";"50624";"77488"
"4";"Sul";"Indígena";"Total";"59414";"29362";"30052";"53109";"26887";"26222";"6305";"2475";"3830"
"4";"Sul";"Indígena";"15 a 19 anos";"7629";"3883";"3746";"7487";"3797";"3690";"142";"86";"56"
"4";"Sul";"Indígena";"20 a 24 anos";"8696";"4362";"4334";"8477";"4251";"4226";"219";"111";"108"
"4";"Sul";"Indígena";"25 a 34 anos";"13389";"6710";"6679";"12893";"6478";"6415";"496";"232";"264"
"4";"Sul";"Indígena";"35 a 44 anos";"10446";"5175";"5271";"9554";"4834";"4720";"892";"341";"551"
"4";"Sul";"Indígena";"45 a 54 anos";"7763";"3882";"3881";"6520";"3400";"3120";"1243";"482";"761"
"4";"Sul";"Indígena";"55 a 64 anos";"5948";"2925";"3023";"4692";"2450";"2242";"1256";"475";"781"
"4";"Sul";"Indígena";"65 anos ou mais";"5543";"2425";"3118";"3486";"1677";"1809";"2057";"748";"1309"
"5";"Centro-Oeste";"Total";"Total";"12887538";"6274277";"6613261";"12235201";"5939915";"6295286";"652337";"334362";"317975"
"5";"Centro-Oeste";"Total";"15 a 19 anos";"1186422";"602653";"583769";"1174110";"594724";"579386";"12312";"7929";"4383"
"5";"Centro-Oeste";"Total";"20 a 24 anos";"1278764";"644319";"634445";"1265410";"635700";"629710";"13354";"8619";"4735"
"5";"Centro-Oeste";"Total";"25 a 34 anos";"2607753";"1290011";"1317742";"2577074";"1270337";"1306737";"30679";"19674";"11005"
"5";"Centro-Oeste";"Total";"35 a 44 anos";"2666600";"1301109";"1365491";"2603942";"1263114";"1340828";"62658";"37995";"24663"
"5";"Centro-Oeste";"Total";"45 a 54 anos";"2127728";"1030017";"1097711";"2019715";"968946";"1050769";"108013";"61071";"46942"
"5";"Centro-Oeste";"Total";"55 a 64 anos";"1576336";"747519";"828817";"1430510";"673653";"756857";"145826";"73866";"71960"
"5";"Centro-Oeste";"Total";"65 anos ou mais";"1443935";"658649";"785286";"1164440";"533441";"630999";"279495";"125208";"154287"
"5";"Centro-Oeste";"Branca";"Total";"4758440";"2236979";"2521461";"4581688";"2150748";"2430940";"176752";"86231";"90521"
"5";"Centro-Oeste";"Branca";"15 a 19 anos";"402999";"199531";"203468";"399481";"197382";"202099";"3518";"2149";"1369"
"5";"Centro-Oeste";"Branca";"20 a 24 anos";"427219";"209384";"217835";"423645";"207260";"216385";"3574";"2124";"1450"
"5";"Centro-Oeste";"Branca";"25 a 34 anos";"886398";"427183";"459215";"878666";"422491";"456175";"7732";"4692";"3040"
"5";"Centro-Oeste";"Branca";"35 a 44 anos";"947394";"443592";"503802";"933464";"435324";"498140";"13930";"8268";"5662"
"5";"Centro-Oeste";"Branca";"45 a 54 anos";"786323";"366100";"420223";"761512";"352159";"409353";"24811";"13941";"10870"
"5";"Centro-Oeste";"Branca";"55 a 64 anos";"641330";"297568";"343762";"605212";"279420";"325792";"36118";"18148";"17970"
"5";"Centro-Oeste";"Branca";"65 anos ou mais";"666777";"293621";"373156";"579708";"256712";"322996";"87069";"36909";"50160"
"5";"Centro-Oeste";"Preta";"Total";"1290702";"692579";"598123";"1190299";"636284";"554015";"100403";"56295";"44108"
"5";"Centro-Oeste";"Preta";"15 a 19 anos";"102673";"55488";"47185";"101522";"54684";"46838";"1151";"804";"347"
"5";"Centro-Oeste";"Preta";"20 a 24 anos";"131166";"72010";"59156";"129693";"70952";"58741";"1473";"1058";"415"
"5";"Centro-Oeste";"Preta";"25 a 34 anos";"275894";"152149";"123745";"271872";"149188";"122684";"4022";"2961";"1061"
"5";"Centro-Oeste";"Preta";"35 a 44 anos";"281816";"153652";"128164";"271919";"146929";"124990";"9897";"6723";"3174"
"5";"Centro-Oeste";"Preta";"45 a 54 anos";"220659";"118791";"101868";"202623";"107638";"94985";"18036";"11153";"6883"
"5";"Centro-Oeste";"Preta";"55 a 64 anos";"151821";"78427";"73394";"127367";"65053";"62314";"24454";"13374";"11080"
"5";"Centro-Oeste";"Preta";"65 anos ou mais";"126673";"62062";"64611";"85303";"41840";"43463";"41370";"20222";"21148"
"5";"Centro-Oeste";"Amarela";"Total";"52090";"24254";"27836";"50903";"23692";"27211";"1187";"562";"625"
"5";"Centro-Oeste";"Amarela";"15 a 19 anos";"3464";"1682";"1782";"3436";"1668";"1768";"28";"14";"14"
"5";"Centro-Oeste";"Amarela";"20 a 24 anos";"4247";"1951";"2296";"4218";"1934";"2284";"29";"17";"12"
"5";"Centro-Oeste";"Amarela";"25 a 34 anos";"8908";"4043";"4865";"8833";"4004";"4829";"75";"39";"36"
"5";"Centro-Oeste";"Amarela";"35 a 44 anos";"10465";"4731";"5734";"10339";"4658";"5681";"126";"73";"53"
"5";"Centro-Oeste";"Amarela";"45 a 54 anos";"8584";"3964";"4620";"8395";"3866";"4529";"189";"98";"91"
"5";"Centro-Oeste";"Amarela";"55 a 64 anos";"6899";"3274";"3625";"6685";"3172";"3513";"214";"102";"112"
"5";"Centro-Oeste";"Amarela";"65 anos ou mais";"9523";"4609";"4914";"8997";"4390";"4607";"526";"219";"307"
"5";"Centro-Oeste";"Parda";"Total";"6675398";"3266067";"3409331";"6316313";"3080670";"3235643";"359085";"185397";"173688"
"5";"Centro-Oeste";"Parda";"15 a 19 anos";"658541";"336437";"322104";"651624";"331788";"319836";"6917";"4649";"2268"
"5";"Centro-Oeste";"Parda";"20 a 24 anos";"699499";"352653";"346846";"691919";"347529";"344390";"7580";"5124";"2456"
"5";"Centro-Oeste";"Parda";"25 a 34 anos";"1411053";"694156";"716897";"1393788";"682757";"711031";"17265";"11399";"5866"
"5";"Centro-Oeste";"Parda";"35 a 44 anos";"1407611";"689777";"717834";"1371382";"667690";"703692";"36229";"22087";"14142"
"5";"Centro-Oeste";"Parda";"45 a 54 anos";"1098848";"534508";"564340";"1036593";"499696";"536897";"62255";"34812";"27443"
"5";"Centro-Oeste";"Parda";"55 a 64 anos";"767839";"364206";"403633";"685234";"323030";"362204";"82605";"41176";"41429"
"5";"Centro-Oeste";"Parda";"65 anos ou mais";"632007";"294330";"337677";"485773";"228180";"257593";"146234";"66150";"80084"
"5";"Centro-Oeste";"Indígena";"Total";"110526";"54199";"56327";"95635";"48330";"47305";"14891";"5869";"9022"
"5";"Centro-Oeste";"Indígena";"15 a 19 anos";"18726";"9501";"9225";"18028";"9188";"8840";"698";"313";"385"
"5";"Centro-Oeste";"Indígena";"20 a 24 anos";"16600";"8310";"8290";"15902";"8014";"7888";"698";"296";"402"
"5";"Centro-Oeste";"Indígena";"25 a 34 anos";"25392";"12425";"12967";"23808";"11843";"11965";"1584";"582";"1002"
"5";"Centro-Oeste";"Indígena";"35 a 44 anos";"19221";"9304";"9917";"16748";"8462";"8286";"2473";"842";"1631"
"5";"Centro-Oeste";"Indígena";"45 a 54 anos";"13256";"6627";"6629";"10536";"5561";"4975";"2720";"1066";"1654"
"5";"Centro-Oeste";"Indígena";"55 a 64 anos";"8416";"4028";"4388";"5986";"2963";"3023";"2430";"1065";"1365"
"5";"Centro-Oeste";"Indígena";"65 anos ou mais";"8915";"4004";"4911";"4627";"2299";"2328";"4288";"1705";"2583"
"11";"Rondônia";"Total";"Total";"1233044";"610681";"622363";"1153509";"571311";"582198";"79535";"39370";"40165"
"11";"Rondônia";"Total";"15 a 19 anos";"122058";"61942";"60116";"120589";"60971";"59618";"1469";"971";"498"
"11";"Rondônia";"Total";"20 a 24 anos";"124515";"62155";"62360";"122969";"61150";"61819";"1546";"1005";"541"
"11";"Rondônia";"Total";"25 a 34 anos";"251290";"123646";"127644";"247949";"121565";"126384";"3341";"2081";"1260"
"11";"Rondônia";"Total";"35 a 44 anos";"251957";"122916";"129041";"245693";"119301";"126392";"6264";"3615";"2649"
"11";"Rondônia";"Total";"45 a 54 anos";"202633";"99775";"102858";"190818";"93438";"97380";"11815";"6337";"5478"
"11";"Rondônia";"Total";"55 a 64 anos";"152320";"76502";"75818";"133082";"67177";"65905";"19238";"9325";"9913"
"11";"Rondônia";"Total";"65 anos ou mais";"128271";"63745";"64526";"92409";"47709";"44700";"35862";"16036";"19826"
"11";"Rondônia";"Branca";"Total";"377505";"182204";"195301";"357346";"172801";"184545";"20159";"9403";"10756"
"11";"Rondônia";"Branca";"15 a 19 anos";"34607";"17084";"17523";"34245";"16855";"17390";"362";"229";"133"
"11";"Rondônia";"Branca";"20 a 24 anos";"34891";"16986";"17905";"34488";"16747";"17741";"403";"239";"164"
"11";"Rondônia";"Branca";"25 a 34 anos";"71865";"34904";"36961";"71035";"34421";"36614";"830";"483";"347"
"11";"Rondônia";"Branca";"35 a 44 anos";"73122";"34406";"38716";"71820";"33671";"38149";"1302";"735";"567"
"11";"Rondônia";"Branca";"45 a 54 anos";"63200";"30159";"33041";"60583";"28730";"31853";"2617";"1429";"1188"
"11";"Rondônia";"Branca";"55 a 64 anos";"51788";"25690";"26098";"47302";"23594";"23708";"4486";"2096";"2390"
"11";"Rondônia";"Branca";"65 anos ou mais";"48032";"22975";"25057";"37873";"18783";"19090";"10159";"4192";"5967"
"11";"Rondônia";"Preta";"Total";"119320";"66437";"52883";"107642";"60019";"47623";"11678";"6418";"5260"
"11";"Rondônia";"Preta";"15 a 19 anos";"8862";"4918";"3944";"8725";"4820";"3905";"137";"98";"39"
"11";"Rondônia";"Preta";"20 a 24 anos";"10999";"6189";"4810";"10821";"6048";"4773";"178";"141";"37"
"11";"Rondônia";"Preta";"25 a 34 anos";"23643";"13129";"10514";"23266";"12864";"10402";"377";"265";"112"
"11";"Rondônia";"Preta";"35 a 44 anos";"25631";"14420";"11211";"24746";"13863";"10883";"885";"557";"328"
"11";"Rondônia";"Preta";"45 a 54 anos";"20987";"11754";"9233";"19213";"10704";"8509";"1774";"1050";"724"
"11";"Rondônia";"Preta";"55 a 64 anos";"15831";"8730";"7101";"12801";"7102";"5699";"3030";"1628";"1402"
"11";"Rondônia";"Preta";"65 anos ou mais";"13367";"7297";"6070";"8070";"4618";"3452";"5297";"2679";"2618"
"11";"Rondônia";"Amarela";"Total";"3648";"1654";"1994";"3521";"1592";"1929";"127";"62";"65"
"11";"Rondônia";"Amarela";"15 a 19 anos";"280";"124";"156";"277";"123";"154";"3";"1";"2"
"11";"Rondônia";"Amarela";"20 a 24 anos";"306";"149";"157";"304";"147";"157";"2";"2";"-"
"11";"Rondônia";"Amarela";"25 a 34 anos";"753";"331";"422";"748";"329";"419";"5";"2";"3"
"11";"Rondônia";"Amarela";"35 a 44 anos";"782";"330";"452";"768";"326";"442";"14";"4";"10"
"11";"Rondônia";"Amarela";"45 a 54 anos";"521";"217";"304";"515";"214";"301";"6";"3";"3"
"11";"Rondônia";"Amarela";"55 a 64 anos";"519";"241";"278";"484";"222";"262";"35";"19";"16"
"11";"Rondônia";"Amarela";"65 anos ou mais";"487";"262";"225";"425";"231";"194";"62";"31";"31"
"11";"Rondônia";"Parda";"Total";"721272";"354657";"366615";"675199";"331809";"343390";"46073";"22848";"23225"
"11";"Rondônia";"Parda";"15 a 19 anos";"76315";"38789";"37526";"75395";"38171";"37224";"920";"618";"302"
"11";"Rondônia";"Parda";"20 a 24 anos";"76645";"37964";"38681";"75724";"37361";"38363";"921";"603";"318"
"11";"Rondônia";"Parda";"25 a 34 anos";"152359";"73927";"78432";"150326";"72646";"77680";"2033";"1281";"752"
"11";"Rondônia";"Parda";"35 a 44 anos";"150536";"72799";"77737";"146631";"70540";"76091";"3905";"2259";"1646"
"11";"Rondônia";"Parda";"45 a 54 anos";"116589";"56988";"59601";"109482";"53244";"56238";"7107";"3744";"3363"
"11";"Rondônia";"Parda";"55 a 64 anos";"83314";"41406";"41908";"71939";"35952";"35987";"11375";"5454";"5921"
"11";"Rondônia";"Parda";"65 anos ou mais";"65514";"32784";"32730";"45702";"23895";"21807";"19812";"8889";"10923"
"11";"Rondônia";"Indígena";"Total";"11268";"5716";"5552";"9774";"5078";"4696";"1494";"638";"856"
"11";"Rondônia";"Indígena";"15 a 19 anos";"1993";"1027";"966";"1946";"1002";"944";"47";"25";"22"
"11";"Rondônia";"Indígena";"20 a 24 anos";"1670";"865";"805";"1628";"845";"783";"42";"20";"22"
"11";"Rondônia";"Indígena";"25 a 34 anos";"2664";"1353";"1311";"2569";"1303";"1266";"95";"50";"45"
"11";"Rondônia";"Indígena";"35 a 44 anos";"1878";"957";"921";"1720";"897";"823";"158";"60";"98"
"11";"Rondônia";"Indígena";"45 a 54 anos";"1331";"655";"676";"1020";"544";"476";"311";"111";"200"
"11";"Rondônia";"Indígena";"55 a 64 anos";"866";"434";"432";"555";"306";"249";"311";"128";"183"
"11";"Rondônia";"Indígena";"65 anos ou mais";"866";"425";"441";"336";"181";"155";"530";"244";"286"
"12";"Acre";"Total";"Total";"608858";"302193";"306665";"535023";"262400";"272623";"73835";"39793";"34042"
"12";"Acre";"Total";"15 a 19 anos";"78689";"40435";"38254";"76811";"39274";"37537";"1878";"1161";"717"
"12";"Acre";"Total";"20 a 24 anos";"77247";"39152";"38095";"75138";"37889";"37249";"2109";"1263";"846"
"12";"Acre";"Total";"25 a 34 anos";"131630";"64611";"67019";"126233";"61375";"64858";"5397";"3236";"2161"
"12";"Acre";"Total";"35 a 44 anos";"123331";"60594";"62737";"111488";"54036";"57452";"11843";"6558";"5285"
"12";"Acre";"Total";"45 a 54 anos";"87454";"43490";"43964";"71745";"34827";"36918";"15709";"8663";"7046"
"12";"Acre";"Total";"55 a 64 anos";"57937";"28395";"29542";"42626";"20428";"22198";"15311";"7967";"7344"
"12";"Acre";"Total";"65 anos ou mais";"52570";"25516";"27054";"30982";"14571";"16411";"21588";"10945";"10643"
"12";"Acre";"Branca";"Total";"125551";"59786";"65765";"113838";"53531";"60307";"11713";"6255";"5458"
"12";"Acre";"Branca";"15 a 19 anos";"17204";"8441";"8763";"16835";"8208";"8627";"369";"233";"136"
"12";"Acre";"Branca";"20 a 24 anos";"15937";"7797";"8140";"15587";"7591";"7996";"350";"206";"144"
"12";"Acre";"Branca";"25 a 34 anos";"26259";"12599";"13660";"25455";"12078";"13377";"804";"521";"283"
"12";"Acre";"Branca";"35 a 44 anos";"24496";"11217";"13279";"22765";"10266";"12499";"1731";"951";"780"
"12";"Acre";"Branca";"45 a 54 anos";"17273";"8163";"9110";"15077";"6954";"8123";"2196";"1209";"987"
"12";"Acre";"Branca";"55 a 64 anos";"11927";"5705";"6222";"9627";"4530";"5097";"2300";"1175";"1125"
"12";"Acre";"Branca";"65 anos ou mais";"12455";"5864";"6591";"8492";"3904";"4588";"3963";"1960";"2003"
"12";"Acre";"Preta";"Total";"58888";"32905";"25983";"49190";"27266";"21924";"9698";"5639";"4059"
"12";"Acre";"Preta";"15 a 19 anos";"6149";"3374";"2775";"6022";"3286";"2736";"127";"88";"39"
"12";"Acre";"Preta";"20 a 24 anos";"6910";"3944";"2966";"6710";"3810";"2900";"200";"134";"66"
"12";"Acre";"Preta";"25 a 34 anos";"12119";"6852";"5267";"11598";"6503";"5095";"521";"349";"172"
"12";"Acre";"Preta";"35 a 44 anos";"12191";"6874";"5317";"10733";"5973";"4760";"1458";"901";"557"
"12";"Acre";"Preta";"45 a 54 anos";"9354";"5282";"4072";"7162";"3980";"3182";"2192";"1302";"890"
"12";"Acre";"Preta";"55 a 64 anos";"6419";"3573";"2846";"4225";"2313";"1912";"2194";"1260";"934"
"12";"Acre";"Preta";"65 anos ou mais";"5746";"3006";"2740";"2740";"1401";"1339";"3006";"1605";"1401"
"12";"Acre";"Amarela";"Total";"1541";"649";"892";"1393";"579";"814";"148";"70";"78"
"12";"Acre";"Amarela";"15 a 19 anos";"168";"73";"95";"165";"73";"92";"3";"-";"3"
"12";"Acre";"Amarela";"20 a 24 anos";"210";"95";"115";"204";"92";"112";"6";"3";"3"
"12";"Acre";"Amarela";"25 a 34 anos";"338";"129";"209";"328";"124";"204";"10";"5";"5"
"12";"Acre";"Amarela";"35 a 44 anos";"348";"146";"202";"322";"129";"193";"26";"17";"9"
"12";"Acre";"Amarela";"45 a 54 anos";"196";"76";"120";"152";"55";"97";"44";"21";"23"
"12";"Acre";"Amarela";"55 a 64 anos";"143";"66";"77";"112";"53";"59";"31";"13";"18"
"12";"Acre";"Amarela";"65 anos ou mais";"138";"64";"74";"110";"53";"57";"28";"11";"17"
"12";"Acre";"Parda";"Total";"407137";"200914";"206223";"358663";"174567";"184096";"48474";"26347";"22127"
"12";"Acre";"Parda";"15 a 19 anos";"51774";"26882";"24892";"50734";"26187";"24547";"1040";"695";"345"
"12";"Acre";"Parda";"20 a 24 anos";"51436";"25856";"25580";"50217";"25054";"25163";"1219";"802";"417"
"12";"Acre";"Parda";"25 a 34 anos";"89255";"43192";"46063";"85803";"41068";"44735";"3452";"2124";"1328"
"12";"Acre";"Parda";"35 a 44 anos";"83749";"41055";"42694";"75798";"36610";"39188";"7951";"4445";"3506"
"12";"Acre";"Parda";"45 a 54 anos";"59050";"29174";"29876";"48433";"23281";"25152";"10617";"5893";"4724"
"12";"Acre";"Parda";"55 a 64 anos";"38653";"18627";"20026";"28290";"13305";"14985";"10363";"5322";"5041"
"12";"Acre";"Parda";"65 anos ou mais";"33220";"16128";"17092";"19388";"9062";"10326";"13832";"7066";"6766"
"12";"Acre";"Indígena";"Total";"15733";"7935";"7798";"11932";"6454";"5478";"3801";"1481";"2320"
"12";"Acre";"Indígena";"15 a 19 anos";"3392";"1664";"1728";"3053";"1519";"1534";"339";"145";"194"
"12";"Acre";"Indígena";"20 a 24 anos";"2753";"1459";"1294";"2419";"1341";"1078";"334";"118";"216"
"12";"Acre";"Indígena";"25 a 34 anos";"3658";"1839";"1819";"3048";"1602";"1446";"610";"237";"373"
"12";"Acre";"Indígena";"35 a 44 anos";"2546";"1302";"1244";"1869";"1058";"811";"677";"244";"433"
"12";"Acre";"Indígena";"45 a 54 anos";"1580";"794";"786";"921";"557";"364";"659";"237";"422"
"12";"Acre";"Indígena";"55 a 64 anos";"793";"423";"370";"370";"226";"144";"423";"197";"226"
"12";"Acre";"Indígena";"65 anos ou mais";"1011";"454";"557";"252";"151";"101";"759";"303";"456"
"13";"Amazonas";"Total";"Total";"2866187";"1418417";"1447770";"2667211";"1314789";"1352422";"198976";"103628";"95348"
"13";"Amazonas";"Total";"15 a 19 anos";"367978";"187167";"180811";"359410";"181833";"177577";"8568";"5334";"3234"
"13";"Amazonas";"Total";"20 a 24 anos";"362878";"182347";"180531";"354535";"177415";"177120";"8343";"4932";"3411"
"13";"Amazonas";"Total";"25 a 34 anos";"629230";"310585";"318645";"611797";"300431";"311366";"17433";"10154";"7279"
"13";"Amazonas";"Total";"35 a 44 anos";"582063";"287405";"294658";"553337";"271553";"281784";"28726";"15852";"12874"
"13";"Amazonas";"Total";"45 a 54 anos";"414805";"206250";"208555";"378585";"186661";"191924";"36220";"19589";"16631"
"13";"Amazonas";"Total";"55 a 64 anos";"275625";"135791";"139834";"236032";"115922";"120110";"39593";"19869";"19724"
"13";"Amazonas";"Total";"65 anos ou mais";"233608";"108872";"124736";"173515";"80974";"92541";"60093";"27898";"32195"
"13";"Amazonas";"Branca";"Total";"521562";"243879";"277683";"495784";"230809";"264975";"25778";"13070";"12708"
"13";"Amazonas";"Branca";"15 a 19 anos";"65142";"31393";"33749";"63995";"30666";"33329";"1147";"727";"420"
"13";"Amazonas";"Branca";"20 a 24 anos";"64437";"31308";"33129";"63306";"30668";"32638";"1131";"640";"491"
"13";"Amazonas";"Branca";"25 a 34 anos";"110470";"53143";"57327";"108270";"51885";"56385";"2200";"1258";"942"
"13";"Amazonas";"Branca";"35 a 44 anos";"103019";"47515";"55504";"99602";"45614";"53988";"3417";"1901";"1516"
"13";"Amazonas";"Branca";"45 a 54 anos";"75489";"34618";"40871";"71107";"32286";"38821";"4382";"2332";"2050"
"13";"Amazonas";"Branca";"55 a 64 anos";"52804";"24440";"28364";"47947";"22017";"25930";"4857";"2423";"2434"
"13";"Amazonas";"Branca";"65 anos ou mais";"50201";"21462";"28739";"41557";"17673";"23884";"8644";"3789";"4855"
"13";"Amazonas";"Preta";"Total";"163443";"95572";"67871";"147214";"85846";"61368";"16229";"9726";"6503"
"13";"Amazonas";"Preta";"15 a 19 anos";"14921";"8593";"6328";"14610";"8367";"6243";"311";"226";"85"
"13";"Amazonas";"Preta";"20 a 24 anos";"17518";"10243";"7275";"17124";"9965";"7159";"394";"278";"116"
"13";"Amazonas";"Preta";"25 a 34 anos";"34127";"20004";"14123";"33131";"19330";"13801";"996";"674";"322"
"13";"Amazonas";"Preta";"35 a 44 anos";"35199";"20785";"14414";"32951";"19297";"13654";"2248";"1488";"760"
