"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"2022"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Cód.";"Brasil, Grande Região e Unidade da Federação";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"1";"Brasil";"Indígena";"25 a 34 anos";"179356";"88747";"90609";"165195";"81976";"83219";"14161";"6771";"7390"
"1";"Brasil";"Indígena";"35 a 44 anos";"148021";"73241";"74780";"127457";"63848";"63609";"20564";"9393";"11171"
"1";"Brasil";"Indígena";"45 a 54 anos";"106617";"52930";"53687";"83357";"42031";"41326";"23260";"10899";"12361"
"1";"Brasil";"Indígena";"55 a 64 anos";"76713";"36765";"39948";"53719";"26243";"27476";"22994";"10522";"12472"
"1";"Brasil";"Indígena";"65 anos ou mais";"78070";"34836";"43234";"41993";"19825";"22168";"36077";"15011";"21066"
"1";"Norte";"Total";"Total";"12983834";"6433861";"6549973";"11923833";"5853861";"6069972";"1060001";"580000";"480001"
"1";"Norte";"Total";"15 a 19 anos";"1545379";"785714";"759665";"1510955";"763666";"747289";"34424";"22048";"12376"
"1";"Norte";"Total";"20 a 24 anos";"1524097";"765966";"758131";"1490297";"744741";"745556";"33800";"21225";"12575"
"1";"Norte";"Total";"25 a 34 anos";"2778389";"1366506";"1411883";"2700516";"1317740";"1382776";"77873";"48766";"29107"
"1";"Norte";"Total";"35 a 44 anos";"2649301";"1307235";"1342066";"2504246";"1220100";"1284146";"145055";"87135";"57920"
"1";"Norte";"Total";"45 a 54 anos";"1937675";"965059";"972616";"1741061";"851328";"889733";"196614";"113731";"82883"
"1";"Norte";"Total";"55 a 64 anos";"1342518";"664648";"677870";"1121144";"547212";"573932";"221374";"117436";"103938"
"1";"Norte";"Total";"65 anos ou mais";"1206475";"578733";"627742";"855614";"409074";"446540";"350861";"169659";"181202"
"1";"Norte";"Branca";"Total";"2657225";"1265049";"1392176";"2497162";"1181816";"1315346";"160063";"83233";"76830"
"1";"Norte";"Branca";"15 a 19 anos";"306470";"148635";"157835";"301303";"145418";"155885";"5167";"3217";"1950"
"1";"Norte";"Branca";"20 a 24 anos";"300598";"147366";"153232";"295392";"144199";"151193";"5206";"3167";"2039"
